Tank,DayFactor,Swimming,Resting,Amplexus,BG,Day
ONE,AONE,57,318,0,BLACK,1
TWO,AONE,244,131,0,BLACK,1
THREE,AONE,21,429,0,BLACK,1
FOUR,AONE,58,167,0,BLACK,1
FIVE,AONE,100,275,0,BLACK,1
ONE,AONE,125,250,0,GREEN,1
TWO,AONE,121,254,0,GREEN,1
THREE,AONE,115,260,0,GREEN,1
FOUR,AONE,45,145,35,GREEN,1
FIVE,AONE,44,331,0,GREEN,1
ONE,AONE,11,364,0,GREY,1
TWO,AONE,119,256,0,GREY,1
THREE,AONE,147,303,0,GREY,1
FOUR,AONE,45,180,0,GREY,1
FIVE,AONE,7,368,0,GREY,1
ONE,AONE,346,179,0,ANONE,1
TWO,AONE,83,292,0,ANONE,1
THREE,AONE,39,411,0,ANONE,1
FOUR,AONE,139,86,0,ANONE,1
FIVE,AONE,189,185,1,ANONE,1
ONE,FIVE,59,316,0,BLACK,5
TWO,FIVE,92,283,0,BLACK,5
THREE,FIVE,42,408,0,BLACK,5
FOUR,FIVE,7,218,0,BLACK,5
FIVE,FIVE,22,353,0,BLACK,5
ONE,FIVE,31,344,0,GREEN,5
TWO,FIVE,7,368,0,GREEN,5
THREE,FIVE,60,390,0,GREEN,5
FOUR,FIVE,83,142,0,GREEN,5
FIVE,FIVE,56,319,0,GREEN,5
ONE,FIVE,95,280,0,GREY,5
TWO,FIVE,96,279,0,GREY,5
THREE,FIVE,84,366,0,GREY,5
FOUR,FIVE,87,138,0,GREY,5
FIVE,FIVE,46,329,0,GREY,5
ONE,FIVE,32,343,0,ANONE,5
TWO,FIVE,69,306,0,ANONE,5
THREE,FIVE,53,397,0,ANONE,5
FOUR,FIVE,57,168,0,ANONE,5
FIVE,FIVE,15,360,0,ANONE,5
ONE,FOUR,63,312,0,BLACK,4
TWO,FOUR,56,319,0,BLACK,4
THREE,FOUR,110,340,0,BLACK,4
FOUR,FOUR,14,211,0,BLACK,4
FIVE,FOUR,27,348,0,BLACK,4
ONE,FOUR,71,304,0,GREEN,4
TWO,FOUR,13,362,0,GREEN,4
THREE,FOUR,39,411,0,GREEN,4
FOUR,FOUR,55,170,0,GREEN,4
FIVE,FOUR,57,318,0,GREEN,4
ONE,FOUR,7,368,0,GREY,4
TWO,FOUR,84,291,0,GREY,4
THREE,FOUR,54,396,0,GREY,4
FOUR,FOUR,61,164,0,GREY,4
FIVE,FOUR,44,331,0,GREY,4
ONE,FOUR,13,362,0,ANONE,4
TWO,FOUR,35,340,0,ANONE,4
THREE,FOUR,25,425,0,ANONE,4
FOUR,FOUR,2,223,0,ANONE,4
FIVE,FOUR,77,298,0,ANONE,4
ONE,TWO,112,263,0,BLACK,2
TWO,TWO,235,140,0,BLACK,2
THREE,TWO,71,379,0,BLACK,2
FOUR,TWO,127,98,0,BLACK,2
FIVE,TWO,154,221,0,BLACK,2
ONE,TWO,51,324,0,GREEN,2
TWO,TWO,50,325,0,GREEN,2
THREE,TWO,72,303,0,GREEN,2
FOUR,TWO,79,82,64,GREEN,2
FIVE,TWO,73,302,0,GREEN,2
ONE,TWO,39,336,0,GREY,2
TWO,TWO,51,324,0,GREY,2
THREE,TWO,156,294,0,GREY,2
FOUR,TWO,70,155,0,GREY,2
FIVE,TWO,101,274,0,GREY,2
ONE,TWO,70,305,0,ANONE,2
TWO,TWO,81,294,0,ANONE,2
THREE,TWO,67,383,0,ANONE,2
FOUR,TWO,64,161,0,ANONE,2
FIVE,TWO,127,248,0,ANONE,2
